Job Title,Job Post Url,Company Name,Location,Job ID
Senior Digital Marketing Trainer,https://www.linkedin.com/jobs/view/4016733333/?eBP=CwEAAAGR9U4IYw6zRvDZPahecRoCwj2PHkUBkW0hg7ues0DIReYos5IHN-Vm8BBLAqnp8gHgGXnx0fkx8MinLdw3KWjbCGi_jXKODThDo938pHjYnlF8WDE-f8M8SAQNu_PMJ5Iz_kTFnu-RZqTPnObPLfosjDoNHBlApOw1TOLjJSBuUkeC5hZlNivmYapvDhkAE6e4uhuE7AxEaK5cxiNTP0jKokeYK-2VTXz3TeXd5tt1hiwf-FOZlUPeszkEaOM2Gx_89OeRDg_EderF9cyW67yOzSDK9SCMSH8gsROnDz71DR9b1WuZMFXBToCNmIcivTmLol2S4V-po7cGoTHcoF4T7mpWScw8P2glSOAujfk-74kJYFqCi2nIZgaJzW84VbwuHT7X-Mja6NW-1mqgTMtXR6aFu1Tlz-vneFw7P1KX8CNP4J1D7BnVi_OUodNvJI0g2CdA_7evZv9PdNP13BPeQ1AhIkdOpoP0f6XqWR_mPUwJAe6FaZJOG0k&refId=CtK%2FwvtWYbhKO7IChpG9JQ%3D%3D&trackingId=wmb%2BNwIv2br1MuuXM%2FwWOw%3D%3D&trk=flagship3_search_srp_jobs,Inmakes Infotech Pvt Ltd,"Kochi, Kerala, India (On-site)",4016733333
Marketing Manager,https://www.linkedin.com/jobs/view/4016705922/?eBP=CwEAAAGR9U4IYyBZ-C68TU_LbqxGyHl4ev8k1eqDC8dGFSTWnQSgRxdwEOo7d_IMmQGIzEBzz4WYD8sXGxQcJ5HOKR1lFC9bR-v0GCHLMK5IS0lW71O0NUb8CFkBqBOav1N5xOAOzGqMS92OnwOXPZhCV5tLlNg9qnqieISN8cWeoI4MJs-I-E0GxJSkd77e0InX1lzUo8GT-G6p9rR4XvtTL6ldOejKBkSf4yBXOAeMHQ5tJvDgwRbXB11_f33gDs04HCTW8HV4pHCtvj6Ae-7DkPLl_fGi9KpaSiVW52kh5f8jCugSAziubuMX5nXU7MDLiJpMOsSk17akgP1ds3OmMDeY8PzJoc9bqqbvVkdTL6DVm-SWtwbmR-KSnaPyN64rH81HvIrQMONNlB7ospGjVnFBYija4qnijNhxrnZQWrAixq4Ewvilx_y2wRyrtjW0w9gyGVfvoKeh7_n17P_dSA_S6ZW9m4KvjzA_bm2tiZGdMyS87nx10j8k&refId=CtK%2FwvtWYbhKO7IChpG9JQ%3D%3D&trackingId=vIdEZGhqXIq3gJ3Xzm3tww%3D%3D&trk=flagship3_search_srp_jobs,RCP Hospitality Pvt Ltd,"Kochi, Kerala, India (On-site)",4016705922
Performance Marketer,https://www.linkedin.com/jobs/view/4016739174/?eBP=CwEAAAGR9U4IY-MCJkYYqL-dymUgd0QFZo_D191yuQQRYAQih8TVE66oCdqP8EqO6m32xRuKGJeZVkLj6-VRdZZI3pp-CZ3OGFW4rj7oW_qLnnGXqtWICv3omVjEqI4RgrNvxFLGEJSFLOAG3yFsPTRzpCEFK980WRbF0qQMkm6UTUWy6Aw--GsTvBa5vNZ5wdBO82nEZBKNL35mIOz1rPVUIin_2MNjwMx3WtaL3RUOisWTls6mv9_wuLvMAEJEj5Aucjs90KLDRYs2dBnQeSv6ZJ01n-rBaWPXTv6_UVFJmLR5JSafQ3Sj8mhL38sCDFCusWGRJw2F7EA03ISZwUrODITS45wJmATv15jPfVkPTd5wBj40KlubZbjpcpQ-e7eNJ9h5tD-lRL7KMVYLtqwuuviXjzz6g2zqHLrOBvThvye6I0eR6L_r2cGbl7DD3Wq80C2-gHQM1Obhj7tLwgNOqZhdWZgZIsWM_YiWtkLtoksmmeAbCt434F7nEhlE&refId=CtK%2FwvtWYbhKO7IChpG9JQ%3D%3D&trackingId=ybei311k0g%2BfG70S6y6Xlg%3D%3D&trk=flagship3_search_srp_jobs,Think Work Agency,"Kozhikode, Kerala, India (On-site)",4016739174
Sr. Digital Marketing Executive,https://www.linkedin.com/jobs/view/4015931849/?eBP=CwEAAAGR9U4IY_EQiI_evk-SzAx0l4cyjoKRmQ5VUT6wNJeIt0sviQnA7-9nT0FQbRkdW8jmxkEu69_lM_Autaxc8CBRs-G2Q9e_VtlFR1pNaxyzvwkF1UhMydpG1uF4hJqyzhTmEPwdtSJWhZWcDsJnaOk_tXL9-dqu7lvr2JFzNaC4h-_Glh_rjEb9JcS-10-k8fo8v5awhSXy7Fj9gWu2M-cLZ7hxDyo0tV0oPLOV2OAbKfbN_zKn5WsN7Gf0Niz-TR830OHHmkBvk8HLOVBYZZ4V3Re40dd1OXnOFswKnszAV4iU7VPLIk0Vif7d4ttk7i-P7_s-DPZing2ikU-wf4Zgi9HH5lJ10BUVYSzkSDKq1iLbbbs9YSL-LMC5jPTEsVOODmQuAr2TgQy38sroml27TidzAKHHiipB1w3Lhq4F_-HCqOgWNFDNuhW0tDTlidN5vate-YnoqxWggXcTMs-7x2sPhTPhZu8&refId=CtK%2FwvtWYbhKO7IChpG9JQ%3D%3D&trackingId=gm9E%2FVbqHhAvcbuJqfNVHQ%3D%3D&trk=flagship3_search_srp_jobs,Uplers,"Kochi, Kerala, India (Remote)",4015931849
Campaign Manager (Google Ads and Meta Ads),https://www.linkedin.com/jobs/view/4011829480/?eBP=CwEAAAGR9U4IY2y2yVfqMvGgECOAQ4JcN-NbopMdm4v15aXfWjGagPpsyvYw4DCu0fQ54MjtpWRPRO35O538I8im0lguKRbSSV1qtM6iK6LiyTpCmd618jLLe6NbzbFjdTxozR0BKLqb4WCv1EdAD3g0mkoYqFYsBBEZKzclzbOLi7nWzifbpDDZ2kT5S7sLySh4P-wlJtQpKo8zV-5jen2ArCvPuvnCUaEMV4isFbJ-gVrQ2g1BAC9p__U8SnUef7rVcboEZbWKrJveA-Q58OdHz3ff4yYRlUXZScBJ57FgIQJ4Caj8tumcBnalxT7CrGWBQ5DZlNFbyWuVzCPJNgN3cVC3QAw3pxK-XU27N-PIcODTgjEBVt4j1OIHfngoRotjFrJ4GYQvQsphDXPI-qCEZoHkvSNS9blJsg7iQeWDvaqK2t3bGrfST4CRUWIZJtyFLVa-EJ2umboQt-xgKv2k3n6Vjh6Ox-QKFwbnBSh1IaBKRpdg1LrtPs60QBmq6X8&refId=CtK%2FwvtWYbhKO7IChpG9JQ%3D%3D&trackingId=Pyh6SJYz8GIZIU1JOT%2B7dA%3D%3D&trk=flagship3_search_srp_jobs,AHZ India,"Kochi, Kerala, India (On-site)",4011829480
Marketing Manager-Offline Lead Generation(Malayalam),https://www.linkedin.com/jobs/view/4011052419/?eBP=CwEAAAGR9U4IYxQD4J24ek8o98YDuKm7TPNTNowYTIOe5smMzlH1VymqHi6aOOQjzZ3FJyPY3t90RjDRwZJ6AFoHfV_CC8hSND-24zCbaB_PuJDesZ7WNxeZeLiNb-OytOTZwgdT7qgrijkJefUIfZkKaB1QMZKHMbeblQYFiAEEMsEKmG2Trxm2Coop1ewg13gSJykzMOCrwbvVChfee6sQO0_IROCEdNb8oziOizpakDrzpACNSRqG3vtOJBZqACNM9bdefxxLwZLu-Fy28vSRY-0uOciPEGfsY60fZZb5puR99l3nZS1oj82gmIhstizHMdDL6e9Y2DV9H1zY9OLAjgNrqxbskoNOSttP6PnYMNwRbLTiCTHqM0pf8PQWtPlAT6EXceuQ_ozekkBe_rOtYtspo-6C9Wh4XS_Y9pCp2fz8K0aHSQqj7WwLzaLU6GG0xUvW1lf3-9TvqnPgdt7XPfnC0-lQSyp2&refId=CtK%2FwvtWYbhKO7IChpG9JQ%3D%3D&trackingId=9j52Hqpf801g1y9nU20RFQ%3D%3D&trk=flagship3_search_srp_jobs,NxtWave,"Kerala, India (On-site)",4011052419
wavespace: Experience Manager,https://www.linkedin.com/jobs/view/3987070802/?eBP=CwEAAAGR9U4IY5U3ZEBbgPk95Sqiv2DIIDHl-3PgEkOF-tGd0ssJv2Z9YXrCvyWKYglykLBJnliMhbPJ7sL8Ov-jak_COjumE1m2_aSrIWyaqB59UdcVaKUKSnXk59Wm4Jt6M5wdYHVAUMTnqdmx02yVjjA7EhLGAn3mS5ccjGelsfFiHnstClO6fVw_dCfRZAevtrQEiax-xvhKXr6ZrPoGwefu3RL4hgP0WPpEBQq7qUJvKxw_-SjxudILBE4VLCGt1GbJDze3VUeBtzB-J_Fh5jQiauE6RxZkU6i4GzU4SJHkzGJWMTPDD7zbPmWszFLHclvh-juhS1dd5rcuZntOcLFYSz7fnEfx8bThWWLKcECe7EQIXvqm_Bl4Ll_-CehCvge16sqqqZrjpabn5vrsT5yRNaC4v5pXMr_FgxKdKc0xpWt3NbkNsAYNIAWlWSYBRicYcuyCrim2payZPwppQDkA4yiBzmF1&refId=CtK%2FwvtWYbhKO7IChpG9JQ%3D%3D&trackingId=wO%2FiQt3FJq7Q3e1x910EEQ%3D%3D&trk=flagship3_search_srp_jobs,EY,"Trivandrum, Kerala, India (On-site)",3987070802
Instructor,https://www.linkedin.com/jobs/view/4014318332/?eBP=CwEAAAGR9U4IYw8nlA_WYc5snuCNQUxvllhNcdKdhI6DfkVNB0zEsQB8MzpNWwZpq65k-sPDyCgy7QOHxFmWUS72iWC7v3U90jGDmeOTqxYLFL5ySAcsvrrtpv5wWOdr8LWMBRW8jBs7Za1ri5knFhsQUiqLerbKcTf33xr3QmgJlgnZMh4CtGGWfW3DFe_GAHC4yiP5LgCYqEjnlV4N9bJr9wZJwf8C4IaUwVaZwLh_oUfTuNBDQSESR80sGJTq_re0k3ksUAGytvmja6aSf2ZdSQ3ffXu3OQdJX65MtjLnzzw35V8lKWza1xN8FUcFhzAKfg4IEQrdKHDiAP9w8_QRVGrL0RTOLCj5Wj_SXxzLAxeE399-E0FU1aztkrukx-FUi8tbVj6XFsl0Q35Dbogc-hosdyxUaC29OeN1UGNYfbXfHsB8DZT8zFVaw4hV_tU0tsE-SKxjT0Hhg6dc9COOKAaezGOAmjxAAC0k3w&refId=CtK%2FwvtWYbhKO7IChpG9JQ%3D%3D&trackingId=NjtOkJhMFKkqW0bv79qvKw%3D%3D&trk=flagship3_search_srp_jobs,Miles Education,"Kochi, Kerala, India (On-site)",4014318332
Business Development Executive,https://www.linkedin.com/jobs/view/3992283576/?eBP=CwEAAAGR9U4IY4leno0-oZ5cr1RImG2SuD56UezWf_OH6jupN_K1D5V3iorOQ8vuU6cExx2Sl0B2DuAQIdukbDdzyeRwaQWnbpW_kqJZ0eCUK9DzQ09zBaAgCTDmxy7j0IaGgQKi1hjDSc6lvaTMaENrjps0N6ShlWIEYsWrZR22vAmwTuEPqSEOFY1K3CHJn4bi9pE_NVlTtv4y5j0CQBFo3g0BPIGDANup-dL-gVvZQIlzYricW_5oCrFCCoa1wBq1iPcECQ4PwMxZSsJmdUVHjnnnYl7OqJRfm1jpwPdtVZ1_6fodTYoyqLdvyKwiHORT_yX94pE1nWs-nsNS4nLFw_5ddTQ-NRfPQUAoUzE8sulCl8k3qrA-OjXTrO-0th7r_A0fCVRdQxdH_21B8OWG_TfzjoU6KjeCGdc0Rn932rkipulDS6BY7gemoW62im70gf4SW-XrQxIVGRTdiEh0zfL2yKV6_00W4dCX6kqDzIuTFruILc6uSfJTq-E&refId=CtK%2FwvtWYbhKO7IChpG9JQ%3D%3D&trackingId=dE6%2FWhh0RYLOzC9ctkU2Dg%3D%3D&trk=flagship3_search_srp_jobs,Swizzle Innovations,"Thiruvananthapuram, Kerala, India (On-site)",3992283576
Content & Influencer Marketing Manager,https://www.linkedin.com/jobs/view/4009876986/?eBP=CwEAAAGR9U4IYw24kQeKn6gFkxWDk6EMSpH9_r0Gh1eDJBpWfY2nK7_YtC1tgfaZSCB0tmQsg9sgLpfRjxGcuunWid0q4vYpYo2v6lTP4Dx15Ja_gqv1zA2GDFBGBlD25ZUd0Y-PMJDWQ6pvZ2zZ4banj_U57x8zzTdU3G6aZGO3Sehd8rlslkEkz1wV2zx5VPxovWlSb2FbxlNSEgGQ_NC1HB-i0uoV9UGqy0-pohjWeYx_L0hURdlWIptfcuIdVCLRT4dMxgkTuV25B_l8xaeJ2tsF8dsz86AXj0MeqR4pCTAaKvoHQqx_impUmQMsrUp-LocDymPycvGJoStKZbdShBsG0ZTENVT_wKu114El7r1pH8cA-ciG4auSI28nObn7k-Xv1SVCLvdmoibwExWzpF5nNQy5okGd5Cek1unLxUzx3XOueknm1g5QrfDR-pX_7WRZUJhODfnu8e4G7ABnsKT3VYFOznY_wQmm2QZJpVYwF0Byapk1_g2AH8Q71Rg&refId=CtK%2FwvtWYbhKO7IChpG9JQ%3D%3D&trackingId=eoXBw1BZyxQBIW2zAFxKrw%3D%3D&trk=flagship3_search_srp_jobs,Lascade,"Kochi, Kerala, India (On-site)",4009876986
